connector_version,consumed_property_count,conversion_success,diagnostics,duration_ms,error,mapping_counts,non_exact_mapping_without_notes,oracle_match,output_bytes,patterns,property_count,python_parse_success,scenario,source_agents,source_hash,source_modules,source_nodes,target,tier
0.3.0,16,True,[],52,,"{""adapted"": 7, ""equivalent"": 3, ""exact"": 6}",2,True,3754,"[""multi-agent"", ""sequential""]",16,True,sequential,3,f26c9d3d2328082df8334b28f488df681f1cf9f13272e6fa4d1cdebd0dd69ec8,0,3,crewai,simple
0.3.0,16,True,[],63,,"{""adapted"": 10, ""equivalent"": 1, ""exact"": 5}",6,True,2596,"[""multi-agent"", ""sequential""]",16,True,sequential,3,f26c9d3d2328082df8334b28f488df681f1cf9f13272e6fa4d1cdebd0dd69ec8,0,3,adk,simple
0.1.0,16,True,[],41,,"{""adapted"": 4, ""equivalent"": 5, ""exact"": 7}",4,True,2889,"[""multi-agent"", ""sequential""]",16,True,sequential,3,f26c9d3d2328082df8334b28f488df681f1cf9f13272e6fa4d1cdebd0dd69ec8,0,3,langgraph,simple
0.1.0,16,True,[],39,,"{""adapted"": 6, ""equivalent"": 4, ""exact"": 6}",6,True,1984,"[""multi-agent"", ""sequential""]",16,True,sequential,3,f26c9d3d2328082df8334b28f488df681f1cf9f13272e6fa4d1cdebd0dd69ec8,0,3,openai-agents,simple
0.1.0,13,True,[],49,,"{""adapted"": 5, ""dropped"": 3, ""equivalent"": 3, ""exact"": 5}",5,True,4167,"[""multi-agent"", ""sequential""]",16,True,sequential,3,f26c9d3d2328082df8334b28f488df681f1cf9f13272e6fa4d1cdebd0dd69ec8,0,3,microsoft-agent-framework,simple
0.1.0,13,True,[],51,,"{""adapted"": 5, ""dropped"": 3, ""equivalent"": 3, ""exact"": 5}",5,True,3636,"[""multi-agent"", ""sequential""]",16,True,sequential,3,f26c9d3d2328082df8334b28f488df681f1cf9f13272e6fa4d1cdebd0dd69ec8,0,3,strands,simple
0.1.0,15,True,[],46,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 6}",5,True,1850,"[""multi-agent"", ""sequential""]",16,True,sequential,3,f26c9d3d2328082df8334b28f488df681f1cf9f13272e6fa4d1cdebd0dd69ec8,0,3,pydantic-ai,simple
0.1.0,15,True,[],40,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 6}",5,True,3093,"[""multi-agent"", ""sequential""]",16,True,sequential,3,f26c9d3d2328082df8334b28f488df681f1cf9f13272e6fa4d1cdebd0dd69ec8,0,3,autogen,simple
0.1.0,15,True,[],47,,"{""adapted"": 4, ""dropped"": 1, ""equivalent"": 5, ""exact"": 6}",4,True,2960,"[""multi-agent"", ""sequential""]",16,True,sequential,3,f26c9d3d2328082df8334b28f488df681f1cf9f13272e6fa4d1cdebd0dd69ec8,0,3,semantic-kernel,simple
0.1.0,15,True,[],40,,"{""adapted"": 6, ""equivalent"": 5, ""exact"": 4, ""unsupported"": 1}",7,True,2626,"[""multi-agent"", ""sequential""]",16,True,sequential,3,f26c9d3d2328082df8334b28f488df681f1cf9f13272e6fa4d1cdebd0dd69ec8,0,3,haystack,simple
0.3.0,14,True,[],52,,"{""adapted"": 7, ""equivalent"": 3, ""exact"": 4}",2,True,4967,"[""multi-agent"", ""sequential"", ""triage""]",14,True,triage-four,4,a1faac9a18effa76cd0cffa09228cc210dbc3a2fb26128aad8aaedaaa2c47a45,0,4,crewai,simple
0.3.0,14,True,[],43,,"{""adapted"": 10, ""exact"": 4}",6,True,2863,"[""multi-agent"", ""sequential"", ""triage""]",14,True,triage-four,4,a1faac9a18effa76cd0cffa09228cc210dbc3a2fb26128aad8aaedaaa2c47a45,0,4,adk,simple
0.1.0,14,True,[],39,,"{""adapted"": 4, ""equivalent"": 4, ""exact"": 6}",4,True,3639,"[""multi-agent"", ""sequential"", ""triage""]",14,True,triage-four,4,a1faac9a18effa76cd0cffa09228cc210dbc3a2fb26128aad8aaedaaa2c47a45,0,4,langgraph,simple
0.1.0,14,True,[],40,,"{""adapted"": 6, ""equivalent"": 4, ""exact"": 4}",6,True,2623,"[""multi-agent"", ""sequential"", ""triage""]",14,True,triage-four,4,a1faac9a18effa76cd0cffa09228cc210dbc3a2fb26128aad8aaedaaa2c47a45,0,4,openai-agents,simple
0.1.0,13,True,[],40,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 3, ""exact"": 5}",5,True,4687,"[""multi-agent"", ""sequential"", ""triage""]",14,True,triage-four,4,a1faac9a18effa76cd0cffa09228cc210dbc3a2fb26128aad8aaedaaa2c47a45,0,4,microsoft-agent-framework,simple
0.1.0,13,True,[],50,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 3, ""exact"": 5}",5,True,4344,"[""multi-agent"", ""sequential"", ""triage""]",14,True,triage-four,4,a1faac9a18effa76cd0cffa09228cc210dbc3a2fb26128aad8aaedaaa2c47a45,0,4,strands,simple
0.1.0,13,True,[],43,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 4}",5,True,2399,"[""multi-agent"", ""sequential"", ""triage""]",14,True,triage-four,4,a1faac9a18effa76cd0cffa09228cc210dbc3a2fb26128aad8aaedaaa2c47a45,0,4,pydantic-ai,simple
0.1.0,13,True,[],40,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 4}",5,True,3965,"[""multi-agent"", ""sequential"", ""triage""]",14,True,triage-four,4,a1faac9a18effa76cd0cffa09228cc210dbc3a2fb26128aad8aaedaaa2c47a45,0,4,autogen,simple
0.1.0,13,True,[],46,,"{""adapted"": 4, ""dropped"": 1, ""equivalent"": 5, ""exact"": 4}",4,True,3927,"[""multi-agent"", ""sequential"", ""triage""]",14,True,triage-four,4,a1faac9a18effa76cd0cffa09228cc210dbc3a2fb26128aad8aaedaaa2c47a45,0,4,semantic-kernel,simple
0.1.0,13,True,[],45,,"{""adapted"": 5, ""equivalent"": 5, ""exact"": 3, ""unsupported"": 1}",6,True,3323,"[""multi-agent"", ""sequential"", ""triage""]",14,True,triage-four,4,a1faac9a18effa76cd0cffa09228cc210dbc3a2fb26128aad8aaedaaa2c47a45,0,4,haystack,simple
0.3.0,14,True,[],55,,"{""adapted"": 7, ""equivalent"": 3, ""exact"": 4}",2,True,5990,"[""multi-agent"", ""sequential"", ""editorial""]",14,True,editorial-five,5,88e3711875cb799501391925decbafa18851b2bcccb964eadbcca54ddce7ce9c,0,5,crewai,simple
0.3.0,14,True,[],48,,"{""adapted"": 10, ""exact"": 4}",6,True,3273,"[""multi-agent"", ""sequential"", ""editorial""]",14,True,editorial-five,5,88e3711875cb799501391925decbafa18851b2bcccb964eadbcca54ddce7ce9c,0,5,adk,simple
0.1.0,14,True,[],42,,"{""adapted"": 4, ""equivalent"": 4, ""exact"": 6}",4,True,4282,"[""multi-agent"", ""sequential"", ""editorial""]",14,True,editorial-five,5,88e3711875cb799501391925decbafa18851b2bcccb964eadbcca54ddce7ce9c,0,5,langgraph,simple
0.1.0,14,True,[],49,,"{""adapted"": 6, ""equivalent"": 4, ""exact"": 4}",6,True,3144,"[""multi-agent"", ""sequential"", ""editorial""]",14,True,editorial-five,5,88e3711875cb799501391925decbafa18851b2bcccb964eadbcca54ddce7ce9c,0,5,openai-agents,simple
